title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
小命解说【战地1】（PC）Beta第5期：突袭24人别抢我的坦克！,单机游戏,1,74,0,1,0,0,4,0,小命SHIO-MEN,25271328,1473317184
剑侠情缘网络版叁秀爷（COSER:倾烬）,日常,2,2363,15,6,67,8,24,5,猫猫汤汤,103422,1473317144
林小天丿泰拉瑞亚1.3.1.1【十二】竟然是血月,网络游戏,2,226,2,5,1,4,8,3,林小天丿,32873498,1473317062
冷BOY,音MAD,1,866,10,14,9,6,4,0,潇湘妃的蘅芜君,8147852,1473317073
小德相助  轻松愉快,电子竞技,1,14,0,0,0,0,1,0,Z天魔,930008,1473317218
【Natalie Westling】Americana Manhasset Fall 2016 - Behind the,T台,2,0,0,0,0,0,1,0,EmeraldSun,2240541,1473317211
MakeUp by Annalee | 约会妆容+发型+穿搭,美妆,2,344,0,2,6,2,5,0,lilyshao,11586810,1473317087
2012 Assembly游戏开发大会Jeroen Tel音乐会,音乐综合,2,221,3,1,26,10,13,3,DrQuest,21443663,1473317165
人生中第一次五杀（王者荣耀露娜）,电子竞技,1,2460,5,9,1,5,12,1,熊猫喂了吗,4256715,1473317183
160625 Pledis Girlz Concert  《Roller Coaster》饭拍,明星,2,677,1,1,17,1,9,1,Jieqiong_Cam,40524604,1473317262
Christen Dominique | 全脸用首次用的化妆品,美妆,2,138,2,2,0,0,6,0,lilyshao,11586810,1473317285
【星玺棠】对不起，我不是你眼中的那个艺考生,日常,1,2173,1,4,22,9,19,12,STofficial,34097014,1473317286
Ingress - It's Time To Recruit 宣传片,网络游戏,1,879,13,1,20,2,49,0,_丸子是兵哥哥,8359891,1473317474
七日杀MOD:我是传奇【叶籽】，第31天,单机游戏,1,73,0,0,0,0,1,0,我想我应该,9654148,1473317455
许魏洲2016亚洲巡演剪辑,明星,1,112,6,2,1,0,2,2,五条悟是本人老公谢谢,25087076,1473317452
【BTV时尚印象】20160907：钢笔下的生命 北京卫视纪实频道 欧阳鹏杰-OY 纪录片,人文·历史,2,14626,842,160,476,354,216,17,欧阳鹏杰-OY,21833522,1473317356
莫斯科骡子鸡尾酒【好想尝尝】,美食制作,2,413,3,1,17,0,12,1,蒙娜丽莎加速器,2323688,1473317458
 中国军队参加“国际军事比武大赛”全纪实 第四集 《军事纪实》 20160906,社科人文,2,8528,82,5,93,9,5,64,巨波,7196366,1473317291
【杨宗纬】翻唱Adele神曲《Rolling in the deep》,音乐综合,2,3782,34,5,37,8,20,10,去你个大脸猫,10860183,1473317114
孙杨苏大采访,运动,2,3927,436,69,137,15,12,2,孙杨的吃货团,29271040,1473317160
【音乐】Ruth Barrett - Wuthering Heights 2009,音乐综合,1,788,0,0,9,2,4,5,青红白胡,36864649,1473317282
苹果iPhone7无线耳麦,手机平板,2,0,0,0,0,0,1,0,stevechenko,27712911,1473317073
【耗纸】你这个敷衍的耗纸！忙里抽空弄个I wanna be the wc,单机游戏,1,43,9,4,0,2,3,0,耗纸HZ,5052177,1473317049
CapcomTV！第50回『怪物猎人物语』特集,单机游戏,1,646,2,0,6,2,6,0,栗樱梦,769592,1473317081
【张根硕】2016 08 09 星期二surprise jks cut,综艺,2,15558,301,28,296,32,55,57,怪异的曲奇,10879224,1473317042
【NatalieWestling】Tiffany & Co. Campaign - Natalie Westli,T台,2,2717,1,5,88,7,23,22,EmeraldSun,2240541,1473317046
【太空堡垒作品】《夏天十九岁的肖像》mv,影视剪辑,1,162,0,0,0,0,12,0,太空堡垒BATTLESTAR,20512229,1473317041
【剑网三】梦回稻香铁血黎明成就10个扇骨,网络游戏,1,302,3,1,0,4,3,0,托楚齐侃基基陛下,13065267,1473317234
【郑恺】15年手机QQ广告片 郑恺生日会邀请,明星,2,386,0,1,7,1,16,1,恺骑士的铠甲,25521163,1473317232
求生之路2 ：装逼就TM你们最厉害,电子竞技,1,184,2,0,1,0,1,0,毛熊110,10053351,1473317190
酸爽北美乐事薯片试吃＊ROBOROSE＊,日常,1,136,5,5,0,1,3,0,Roborose,38950251,1473317184
【龙舞天团】<Redfoo-booty man>lisa老师课堂,街舞,1,685,1,1,7,1,9,0,北京龙舞天团艺能学院,17577804,1473317246
